Date,Trains per day,Total Employees,Total Employees* Not Laid Off,Active,Non Active,Laid Off,Available
1/16/2018,21,498,409,440,58,89,351
1/17/2018,22,496,403,441,55,93,348
1/18/2018,19,496,413,438,58,83,355
1/19/2018,28,496,413,439,57,83,356
1/20/2018,19,496,419,439,57,77,362
1/21/2018,20,497,422,441,56,75,366
1/22/2018,23,497,422,441,56,75,366
1/23/2018,22,497,421,440,57,76,364
1/24/2018,21,496,413,439,57,83,356
1/25/2018,22,496,417,436,60,79,357
1/26/2018,27,496,414,439,57,82,357
1/27/2018,21,496,413,439,57,83,356
1/28/2018,25,496,422,442,54,74,368
1/29/2018,29,496,420,442,54,76,366
1/30/2018,25,496,420,442,54,76,366
1/31/2018,25,496,405,443,53,91,352
2/1/2018,23,496,400,444,52,96,348
2/2/2018,25,497,401,444,53,96,348
2/3/2018,24,497,396,445,52,101,344
2/4/2018,24,497,395,446,51,102,344
2/5/2018,28,497,405,446,51,92,354
2/6/2018,24,497,409,446,51,88,358
2/7/2018,27,497,397,448,49,100,348
2/8/2018,20,497,392,448,49,105,343
2/9/2018,25,497,393,448,49,104,344
2/10/2018,22,497,396,448,49,101,347
2/11/2018,21,497,405,449,48,92,357
2/12/2018,25,497,407,449,48,90,359
2/13/2018,24,497,399,449,48,98,351
2/14/2018,23,497,395,452,45,102,350
2/15/2018,20,497,397,454,43,100,354
2/16/2018,24,496,387,454,42,109,345
2/17/2018,22,495,393,452,43,102,350
2/18/2018,23,494,405,449,45,89,360
2/19/2018,23,494,391,449,45,103,346
2/21/2018,16,493,407,448,45,86,362
2/22/2018,24,493,408,448,45,85,363
2/23/2018,22,493,396,447,46,97,350
2/24/2018,21,493,392,447,46,101,346
2/25/2018,25,493,401,448,45,92,356
2/26/2018,24,493,393,448,45,100,348
2/27/2018,26,493,392,447,46,101,346
2/28/2018,21,493,378,445,48,115,330
3/1/2018,23,493,368,444,49,125,319
3/2/2018,24,493,369,446,47,124,322
3/3/2018,27,492,378,444,48,114,330
3/4/2018,23,492,385,443,49,107,336
3/5/2018,20,492,392,443,49,100,343
3/6/2018,22,492,399,443,49,93,350
3/7/2018,22,492,394,445,47,98,347
3/8/2018,24,492,374,445,47,118,327
3/9/2018,24,492,381,444,48,111,333
3/10/2018,23,493,397,443,50,96,347
3/11/2018,25,493,395,444,49,98,346
3/12/2018,23,493,386,441,52,107,334
3/13/2018,27,493,381,434,59,112,322
3/14/2018,21,493,381,435,58,112,323
3/15/2018,23,493,370,437,56,123,314
3/16/2018,24,493,358,436,57,135,301
3/17/2018,22,493,371,437,56,122,315
3/18/2018,19,492,399,439,53,93,346
3/19/2018,20,492,407,439,53,85,354
3/20/2018,24,493,402,440,53,91,349
3/21/2018,22,493,400,438,55,93,345
3/22/2018,24,493,405,438,55,88,350
3/23/2018,20,493,403,439,54,90,349
3/24/2018,23,493,402,439,54,91,348
3/25/2018,25,493,405,441,52,88,353
